date,manager,channel,pack_no,pack_count,priority,wb_article,seller_article,name,status,orders_month,margin_month,revenue_month,orders_day,margin_day,buyout,manager_comment
2026-04-02,Александра,Wildberries,1,2,1,494215730,"ksw017/ft2/k1/004/p1*dмолочный,бежевый",лола молоч,матрица,1500.0,729000.0,2430000.0,68.18,33136.36,0.72,
2026-04-02,Александра,Wildberries,1,2,2,67018717,"lng001/sph/k1/003/p1*uсиний,белый",Лонгслив полоска,матрица,3530.0,451134.0,1503780.0,160.45,20506.09,0.71,
2026-04-02,Александра,Wildberries,1,2,3,262928228,"mkb004/sph/k5/038/p1*mбелый,синий",ОЕ 5 шт. мальчик,матрица,1500.0,423360.0,1411200.0,68.18,19243.64,0.84,
2026-04-02,Александра,Wildberries,1,2,4,25715823,"356/mkb002/sph/k3/026/p1/W*dбелый,светло-розовый",сердечки,матрица,1500.0,321300.0,1071000.0,68.18,14604.55,0.84,
2026-04-02,Александра,Wildberries,1,2,5,391924606,"mkb002/sph/k3/027/p1*dрозовый,белый",сердечки новые,матрица,1400.0,281111.04,937036.8,63.64,12777.77,0.83,
2026-04-02,Александра,Wildberries,1,2,6,70598722,"452/mkb000/sph/k3/004/p1/W*dрозовый,персиковый ук 112",ОЕ 5 шт девочка,матрица,1000.0,278460.0,928200.0,45.45,12657.27,0.84,
2026-04-02,Александра,Wildberries,1,2,7,493266510,"mkb002/sph/k4/055/p1*dкоралловый,мятный",тонкие бретель ,матрица,1300.0,228009.6,912038.4,59.09,10364.07,0.87,
2026-04-02,Александра,Wildberries,1,2,8,439694126,"mkb002/sph/k4/053/p1*dмолочный,желтый",тонкие бретель ,матрица,1300.0,220147.2,880588.8,59.09,10006.69,0.84,
2026-04-02,Александра,Wildberries,1,2,9,348226716,"brk018/int/k3/005/p1*mчерный,зеленый,темно-синий",малыши 3 шт,матрица,800.0,213343.2,853372.8,36.36,9697.42,0.84,
2026-04-02,Александра,Wildberries,1,2,10,492211496,brk020/ft2/k1/001/p1*dчерный,школа палаццо,матрица,800.0,182926.8,609756.0,36.36,8314.85,0.3,
2026-04-02,Александра,Wildberries,1,2,11,494186306,ksw015/ft3/k1/014/p1*uкофейный,необработанный край,новинка,520.0,174501.6,581672.0,23.64,7931.89,0.47,
2026-04-02,Александра,Wildberries,1,2,12,14703143,"603/pjm003/sph/k1/003/p1/W*dбелый,бледно-розовый",заяц,матрица,600.0,144045.0,480150.0,27.27,6547.5,0.75,
2026-04-02,Александра,Wildberries,1,2,13,494871207,"603/pjm001/sph/k1/013/p1/W*dголубой,синий",звезды голубые,матрица,560.0,109226.88,404544.0,25.45,4964.86,0.8,
2026-04-02,Александра,Wildberries,1,2,14,494186301,ksw012/f3n/k1/008/p1*dчерный,палаццо,новинка,300.0,93204.0,466020.0,13.64,4236.55,0.36,
2026-04-02,Александра,Wildberries,1,2,15,371850849,"brk018/int/k2/005/p1*mсерый,черный",малыш 2 шт,матрица,350.0,73415.16,271908.0,15.91,3337.05,0.78,
2026-04-02,Александра,Wildberries,1,2,16,548860918,"pjm015/int/k1/001/p1*dмолочный,красный",сердца мал,матрица,230.0,67726.26,225754.2,10.45,3078.47,0.63,
2026-04-02,Александра,Wildberries,1,2,17,304023819,"pjm001/sph/k1/032/p2*dмолочный,бордовый",сердца,вывод,250.0,46368.0,231840.0,11.36,2107.64,0.72,
2026-04-02,Александра,Wildberries,1,2,18,252658788,"pjm001/sph/k1/032/p1*dмолочный,бордовый",сердца,матрица,140.0,21168.0,105840.0,6.36,962.18,0.75,
2026-04-02,Александра,Wildberries,1,2,19,278986369,"pjm002/sph/k1/015/p1*uбелый,красный",Новый год,НГ матрица,30.0,,,1.36,0.0,0.69,
2026-04-02,Александра,Wildberries,1,2,20,493274575,ftb001/sph/k1/055/p1*uчерный,Новый год,НГ вывод,10.0,,,0.45,0.0,0.71,
2026-04-02,Даниил,Ozon,1,2,1,262928228,"mkb004/sph/k5/038/p1*mбелый,синий",ОЕ 5 шт. мальчик,матрица,800.0,272160.0,907200.0,36.36,12370.91,0.84,"на данном артикуле на половине размеров остатки уже нулевые. Нужна поставка. Где я могу увидеть сколько есть на складах на сегодня, готовых к отгрузке? Отключаю РК, потому что неэффективно на 2 размера гнать РК. Соответсвенно план скорее всего не будет реализован за январь так точно. 405 единиц всего остаток на данном товаре на 2 размера. У одного из 1шт."
2026-04-02,Даниил,Ozon,1,2,2,27458410,"603/pjm004/3/sph/k1/001/p1/W*dбелый,малиновый",единорог белый,матрица,700.0,195615.0,652050.0,31.82,8891.59,0.81,
2026-04-02,Даниил,Ozon,1,2,3,17676901,"636/mkb002/sph/k3/005/p1/W*dмолочный,розовый",майка ажурка,матрица,628.25,194506.2,648354.0,28.56,8841.19,0.86,
2026-04-02,Даниил,Ozon,1,2,4,247229875,"brk018/int/k3/005/p1*mчерный,зеленый,синий",малыши 3 шт,матрица,350.0,159705.0,532350.0,15.91,7259.32,0.78,
2026-04-02,Даниил,Ozon,1,2,5,439694126,"mkb002/sph/k4/053/p1*dмолочный,желтый",Майка бретельки тонкие 4 шт,вывод,450.0,141750.0,472500.0,20.45,6443.18,0.84,
2026-04-02,Даниил,Ozon,1,2,6,153796740,kss023/sph/k1/002/p1*dфуксия,Велоспорт 2 шт ,матрица,400.0,120780.0,402600.0,18.18,5490.0,0.61,. Установка была распродавать все костюмы по 950р. По 950р маржа скачет от +40% до -7% маржи. Цена около 1025р по 20% маржи ориентировочно. Зависит от процента выкупа
2026-04-02,Даниил,Ozon,1,2,7,494215730,"ksw017/ft2/k1/004/p1*dмолочный,бежевый",лола молч,матрица,150.0,105300.0,351000.0,6.82,4786.36,0.72,"Здесь знаю, что 30% держим"
2026-04-02,Даниил,Ozon,1,2,8,387100275,"mkb002/sph/k4/050/p1*dрозовый,желтый",Майка бретельки тонкие,матрица,300.0,89010.0,296700.0,13.64,4045.91,0.86,
2026-04-02,Даниил,Ozon,1,2,9,493214846,"brk004/spl/k2/001/p1*uчерный,серый",малыш шнурок 2 шт,новинка,250.0,88800.0,296000.0,11.36,4036.36,0.64,
2026-04-02,Даниил,Ozon,1,2,10,467114670,"brk005/spl/k3/019/p1*uчерный,серый,синий",малыши 3 шт ломпас,вывод,150.0,72000.0,240000.0,6.82,3272.73,0.8,
2026-04-02,Даниил,Ozon,1,2,11,348231025,kss023/sph/k1/002/p1*dрозовый,Велоспорт 2 шт ,вывод,200.0,65760.0,219200.0,9.09,2989.09,0.8,
2026-04-02,Даниил,Ozon,1,2,12,494854604,"pjm013/sph/k1/004/p1*uчерный,белый",скелет на скейте,матрица,100.0,55500.0,185000.0,4.55,2522.73,0.74,
2026-04-02,Даниил,Ozon,1,2,13,494871207,"603/pjm001/sph/k1/013/p1/W*dголубой,синий",звезды голубые,новинка,150.0,50400.0,168000.0,6.82,2290.91,0.8,
2026-04-02,Даниил,Ozon,1,2,14,8892182,10-920/k2/019*mчерный,Шорты,матрица,150.0,41580.0,138600.0,6.82,1890.0,0.77,
2026-04-02,Даниил,Ozon,1,2,15,246954528,plw006/ksh/k1/001/p1*dчерный,лапша,вывод,150.0,35140.5,117135.0,6.82,1597.3,0.57,Распродать по по 975р.  А это на сегодня маража около 8%. В плане стоит 30%...
