platform;manager;pack_number;pack_index;pack_date;due_date;seller_article;wb_article;ozon_article;name;priority;focus_metric;comment_hint;plan_day_metric;fact_day_metric;plan_month_metric;fact_month_metric;forecast_pct_metric;focus_summary;existing_action;reason;day1;day2;day3;day4;day5
WB;Анастасия;1;1;2026-04-08;2026-04-14;brk018/int/k3/005/p1*mчерный,зеленый,синий;247229875;1174645555;малыши 3 шт;Высокий;Кол продаж;;31.2;22.57142857;936.0;158;0.7234432234;"WB: разогнать продажи — SEO, контент, цена, видимость и локализация под спрос. запас достаточный — можно аккуратно усиливать рекламу и расширять ключи 253 ед. спроса за 7 дн. (оценка); остаток 1 985 шт (~55 дн.); осн. склад 46 шт; выкуп 78%; возвраты 7д 0%";WB: запас достаточный — можно аккуратно усиливать рекламу и расширять ключи.;"253 ед. спроса за 7 дн. (оценка); остаток 1 985 шт (~55 дн.); осн. склад 46 шт; выкуп 78%; возвраты 7д 0%";Пересобрать ключи, заголовок, характеристики, поисковые запросы и релевантность карточки.;Обновить обложку, инфографику, фото/видео и первые экраны карточки.;Сверить цену, индекс/конкурентов, промо, акции и влияние на маржу.;Посмотреть кластеры/склады, сроки доставки и доступность товара под спрос.;"WB: проверить видимость, рекламу и воронку; зафиксировать итог и следующий шаг."
WB;Анастасия;1;2;2026-04-08;2026-04-14;brk018/int/k3/005/p1*mчерный,с-меланж,хаки;578603275;3957157408;малыши 3 шт;Высокий;Кол продаж;;12.6;9.142857143;378.0;64;0.7256235828;"WB: разогнать продажи — SEO, контент, цена, видимость и локализация под спрос. запланировать допоставить ~11 шт с основного склада 98 ед. спроса за 7 дн. (оценка); остаток 620 шт (~44 дн.); осн. склад 2 758 шт; выкуп 73%; возвраты 7д 1%";WB: запланировать допоставить ~11 шт с основного склада.;"98 ед. спроса за 7 дн. (оценка); остаток 620 шт (~44 дн.); осн. склад 2 758 шт; выкуп 73%; возвраты 7д 1%";Пересобрать ключи, заголовок, характеристики, поисковые запросы и релевантность карточки.;Обновить обложку, инфографику, фото/видео и первые экраны карточки.;Сверить цену, индекс/конкурентов, промо, акции и влияние на маржу.;Посмотреть кластеры/склады, сроки доставки и доступность товара под спрос.;"WB: проверить видимость, рекламу и воронку; зафиксировать итог и следующий шаг."
WB;Анастасия;1;3;2026-04-08;2026-04-14;brk005/spl/k3/019/p1*uчерный,серый,синий;467114670;2522428960;малыши 3 шт ломпас;Высокий;Отменили;лампас;;;1 кв.;3;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. запустить плановое пополнение/производство, целевой объем ~172 шт Фокус по варианту/подсказке: лампас. 76 ед. спроса за 7 дн. (оценка); остаток 318 шт (~29 дн.); выкуп 76%; возвраты 7д 0%";WB: запустить плановое пополнение/производство, целевой объем ~172 шт.;"76 ед. спроса за 7 дн. (оценка); остаток 318 шт (~29 дн.); выкуп 76%; возвраты 7д 0%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;1;4;2026-04-08;2026-04-14;brk012/ft2/k1/017/p1*mсиний;461224649;2226678387;школа гусинная лапка;Высокий;Кол продаж;школа;1.6;0.8571428571;48.0;6;0.5357142857;"WB: разогнать продажи — SEO, контент, цена, видимость и локализация под спрос. наблюдение, без резких действий Фокус по варианту/подсказке: школа. 14 ед. спроса за 7 дн. (оценка); остаток 4 988 шт (~2531 дн.); выкуп 57%; возвраты 7д 0%";WB: наблюдение, без резких действий.;"14 ед. спроса за 7 дн. (оценка); остаток 4 988 шт (~2531 дн.); выкуп 57%; возвраты 7д 0%";Пересобрать ключи, заголовок, характеристики, поисковые запросы и релевантность карточки.;Обновить обложку, инфографику, фото/видео и первые экраны карточки.;Сверить цену, индекс/конкурентов, промо, акции и влияние на маржу.;Посмотреть кластеры/склады, сроки доставки и доступность товара под спрос.;"WB: проверить видимость, рекламу и воронку; зафиксировать итог и следующий шаг."
WB;Анастасия;1;5;2026-04-08;2026-04-14;brk012/ft2/k1/018/p1*mсиний;503891710;3296374072;школа синие однотон;Средний;Кол продаж;;9;7.428571429;270.0;52;0.8253968254;"WB: разогнать продажи — SEO, контент, цена, видимость и локализация под спрос. наблюдение, без резких действий 69 ед. спроса за 7 дн. (оценка); остаток 565 шт (~58 дн.); осн. склад 5 240 шт; выкуп 43%; возвраты 7д 0%";WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа.;"69 ед. спроса за 7 дн. (оценка); остаток 565 шт (~58 дн.); осн. склад 5 240 шт; выкуп 43%; возвраты 7д 0%";Пересобрать ключи, заголовок, характеристики, поисковые запросы и релевантность карточки.;Обновить обложку, инфографику, фото/видео и первые экраны карточки.;Сверить цену, индекс/конкурентов, промо, акции и влияние на маржу.;Посмотреть кластеры/склады, сроки доставки и доступность товара под спрос.;"WB: проверить видимость, рекламу и воронку; зафиксировать итог и следующий шаг."
WB;Анастасия;1;6;2026-04-08;2026-04-14;brk020/ft2/k1/005/p1*dсерый_меланж;566476239;3630322522;шаравары без манж;Средний;Отменили;с_меланж;;;1 кв.;2;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий Фокус по варианту/подсказке: с_меланж. 89 ед. спроса за 7 дн. (оценка); остаток 714 шт (~56 дн.); осн. склад 5 947 шт; выкуп 43%; возвраты 7д 10%";WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа.;"89 ед. спроса за 7 дн. (оценка); остаток 714 шт (~56 дн.); осн. склад 5 947 шт; выкуп 43%; возвраты 7д 10%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;1;7;2026-04-08;2026-04-14;shr006/spl/k3/015/p1*uкоралловый,молочный;449731397;;велосипедки 3 шт;Высокий;Кол продаж;3 шт;19.36666667;3.571428571;581.0;25;0.1844111138;"WB: разогнать продажи — SEO, контент, цена, видимость и локализация под спрос. запас достаточный — можно аккуратно усиливать рекламу и расширять ключи Фокус по варианту/подсказке: 3 шт. 21 ед. спроса за 7 дн. (оценка); остаток 940 шт (~320 дн.); осн. склад 2 080 шт; выкуп 72%; возвраты 7д 0%";WB: запас достаточный — можно аккуратно усиливать рекламу и расширять ключи.;"21 ед. спроса за 7 дн. (оценка); остаток 940 шт (~320 дн.); осн. склад 2 080 шт; выкуп 72%; возвраты 7д 0%";Пересобрать ключи, заголовок, характеристики, поисковые запросы и релевантность карточки.;Обновить обложку, инфографику, фото/видео и первые экраны карточки.;Сверить цену, индекс/конкурентов, промо, акции и влияние на маржу.;Посмотреть кластеры/склады, сроки доставки и доступность товара под спрос.;"WB: проверить видимость, рекламу и воронку; зафиксировать итог и следующий шаг."
WB;Анастасия;1;8;2026-04-08;2026-04-14;shr006/spl/k3/015/p1*uрозовый,голубой;449731398;;велосипедки 3 шт;Высокий;Кол продаж;3 шт;16.56666667;0.8571428571;497.0;6;0.05173900546;"WB: разогнать продажи — SEO, контент, цена, видимость и локализация под спрос. наблюдение, без резких действий Фокус по варианту/подсказке: 3 шт. 8 ед. спроса за 7 дн. (оценка); остаток 949 шт (~872 дн.); осн. склад 2 518 шт; выкуп 70%; возвраты 7д 8%";WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа.;"8 ед. спроса за 7 дн. (оценка); остаток 949 шт (~872 дн.); осн. склад 2 518 шт; выкуп 70%; возвраты 7д 8%";Пересобрать ключи, заголовок, характеристики, поисковые запросы и релевантность карточки.;Обновить обложку, инфографику, фото/видео и первые экраны карточки.;Сверить цену, индекс/конкурентов, промо, акции и влияние на маржу.;Посмотреть кластеры/склады, сроки доставки и доступность товара под спрос.;"WB: проверить видимость, рекламу и воронку; зафиксировать итог и следующий шаг."
WB;Анастасия;1;9;2026-04-08;2026-04-14;shr006/spl/k4/043/p1*dмолочный,пудровый;578628192;;велосипедки 4 шт;Высокий;Отменили;;;;1 кв.;0;;WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий;WB: наблюдение, без резких действий.;;Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;1;10;2026-04-08;2026-04-14;kss023/sph/k1/002/p1*dсалатовый;153796741;523946777;велоспорт 2 шт;Высокий;Отменили;2 пр;;;1 кв.;1;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий Фокус по варианту/подсказке: 2 пр. 35 ед. спроса за 7 дн. (оценка); остаток 3 107 шт (~625 дн.); осн. склад 2 131 шт; выкуп 63%; возвраты 7д 7%";WB: наблюдение, без резких действий.;"35 ед. спроса за 7 дн. (оценка); остаток 3 107 шт (~625 дн.); осн. склад 2 131 шт; выкуп 63%; возвраты 7д 7%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;1;11;2026-04-08;2026-04-14;kss023/sph/k1/002/p1*dрозовый;348231025;1463255977;велоспорт 2 шт;Высокий;Отменили;2 пр;;;1 кв.;0;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий Фокус по варианту/подсказке: 2 пр. 16 ед. спроса за 7 дн. (оценка); остаток 4 011 шт (~1705 дн.); осн. склад 3 786 шт; выкуп 56%; возвраты 7д 0%";WB: наблюдение, без резких действий.;"16 ед. спроса за 7 дн. (оценка); остаток 4 011 шт (~1705 дн.); осн. склад 3 786 шт; выкуп 56%; возвраты 7д 0%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;1;12;2026-04-08;2026-04-14;kss024/spl/k1/001/p1*dбирюзовый;411181679;1725102622;велоспорт 3 шт;Высокий;Отменили;3 пр;;;1 кв.;0;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий Фокус по варианту/подсказке: 3 пр. 42 ед. спроса за 7 дн. (оценка); остаток 811 шт (~134 дн.); осн. склад 204 шт; выкуп 63%; возвраты 7д 8%";WB: наблюдение, без резких действий.;"42 ед. спроса за 7 дн. (оценка); остаток 811 шт (~134 дн.); осн. склад 204 шт; выкуп 63%; возвраты 7д 8%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;1;13;2026-04-08;2026-04-14;kss024/spl/k1/001/p1*dсалатовый;411181682;1725102611;велоспорт 3 шт;Высокий;Кол продаж;велоспорт;12.66666667;5.285714286;380.0;37;0.4172932331;"WB: разогнать продажи — SEO, контент, цена, видимость и локализация под спрос. наблюдение, без резких действий Фокус по варианту/подсказке: велоспорт. 39 ед. спроса за 7 дн. (оценка); остаток 965 шт (~174 дн.); осн. склад 272 шт; выкуп 74%; возвраты 7д 9%";WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа.;"39 ед. спроса за 7 дн. (оценка); остаток 965 шт (~174 дн.); осн. склад 272 шт; выкуп 74%; возвраты 7д 9%";Пересобрать ключи, заголовок, характеристики, поисковые запросы и релевантность карточки.;Обновить обложку, инфографику, фото/видео и первые экраны карточки.;Сверить цену, индекс/конкурентов, промо, акции и влияние на маржу.;Посмотреть кластеры/склады, сроки доставки и доступность товара под спрос.;"WB: проверить видимость, рекламу и воронку; зафиксировать итог и следующий шаг."
WB;Анастасия;1;14;2026-04-08;2026-04-14;kss025/spl/k1/002/p1*dграфит;566490730;3630094135;юбка-шорты;Высокий;Кол продаж;юбка-шорты;32;18.14285714;960.0;127;0.5669642857;"WB: разогнать продажи — SEO, контент, цена, видимость и локализация под спрос. запланировать допоставить ~72 шт с основного склада Фокус по варианту/подсказке: юбка-шорты. 116 ед. спроса за 7 дн. (оценка); остаток 670 шт (~41 дн.); осн. склад 2 452 шт; выкуп 62%; возвраты 7д 5%";WB: запланировать допоставить ~72 шт с основного склада.;"116 ед. спроса за 7 дн. (оценка); остаток 670 шт (~41 дн.); осн. склад 2 452 шт; выкуп 62%; возвраты 7д 5%";Пересобрать ключи, заголовок, характеристики, поисковые запросы и релевантность карточки.;Обновить обложку, инфографику, фото/видео и первые экраны карточки.;Сверить цену, индекс/конкурентов, промо, акции и влияние на маржу.;Посмотреть кластеры/склады, сроки доставки и доступность товара под спрос.;"WB: проверить видимость, рекламу и воронку; зафиксировать итог и следующий шаг."
WB;Анастасия;1;15;2026-04-08;2026-04-14;kss025/ft2/k1/001/p1*dфиолетовый;411181685;1725110120;юбка-шорты;Высокий;Отменили;фиолет;;;1 кв.;1;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий Фокус по варианту/подсказке: фиолет. 80 ед. спроса за 7 дн. (оценка); остаток 713 шт (~63 дн.); осн. склад 829 шт; выкуп 66%; возвраты 7д 3%";WB: наблюдение, без резких действий.;"80 ед. спроса за 7 дн. (оценка); остаток 713 шт (~63 дн.); осн. склад 829 шт; выкуп 66%; возвраты 7д 3%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;1;16;2026-04-08;2026-04-14;kss025/ft2/k1/001/p1*dментол;411181683;1725118436;юбка-шорты;Высокий;Отменили;ментол;;;1 кв.;1;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий Фокус по варианту/подсказке: ментол. 58 ед. спроса за 7 дн. (оценка); остаток 778 шт (~93 дн.); осн. склад 961 шт; выкуп 63%; возвраты 7д 2%";WB: наблюдение, без резких действий.;"58 ед. спроса за 7 дн. (оценка); остаток 778 шт (~93 дн.); осн. склад 961 шт; выкуп 63%; возвраты 7д 2%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;1;17;2026-04-08;2026-04-14;kss026/spl/k1/002/p1*dпесочный;773225617;;Костюм футболка с брюками палаццо;Средний;% выкупа;песочный;;;0.0;0;0;"WB: поднять выкуп — размерная сетка, фото посадки, описание ткани/посадки, ответы на отзывы. не допоставлять, распродавать текущий остаток и сократить лишний рекламный трафик Фокус по варианту/подсказке: песочный. 1 ед. спроса за 7 дн. (оценка); остаток 371 шт (~4205 дн.); осн. склад 473 шт; выкуп 33%; возвраты 7д 0%";WB: не допоставлять, распродавать текущий остаток и сократить лишний рекламный трафик.;"1 ед. спроса за 7 дн. (оценка); остаток 371 шт (~4205 дн.); осн. склад 473 шт; выкуп 33%; возвраты 7д 0%";Размерная сетка, фото посадки, описание ткани и посадки, блок вопросов/ответов.;Разобрать негатив по размеру/качеству/цвету, добавить пояснения в карточку и изображения.;Проверить соответствие цены ожиданиям клиента и связку цена ↔ качество ↔ комплектация.;"Проверить, где артикул реально доступен быстро; убрать просадки по регионам.";"Сравнить выкуп, возвраты и конверсию в заказ; решить, что масштабировать дальше."
WB;Анастасия;1;18;2026-04-08;2026-04-14;kss026/spl/k1/002/p1*dграфит;773225612;3960545218;Костюм футболка с брюками;Высокий;% выкупа;графит;;;0.0;0.7916666667;0.3958333333;"WB: поднять выкуп — размерная сетка, фото посадки, описание ткани/посадки, ответы на отзывы. наблюдение, без резких действий Фокус по варианту/подсказке: графит. 2 ед. спроса за 7 дн. (оценка); остаток 279 шт (~1054 дн.); осн. склад 359 шт; выкуп 0%";WB: наблюдение, без резких действий.;"2 ед. спроса за 7 дн. (оценка); остаток 279 шт (~1054 дн.); осн. склад 359 шт; выкуп 0%";Размерная сетка, фото посадки, описание ткани и посадки, блок вопросов/ответов.;Разобрать негатив по размеру/качеству/цвету, добавить пояснения в карточку и изображения.;Проверить соответствие цены ожиданиям клиента и связку цена ↔ качество ↔ комплектация.;"Проверить, где артикул реально доступен быстро; убрать просадки по регионам.";"Сравнить выкуп, возвраты и конверсию в заказ; решить, что масштабировать дальше."
WB;Анастасия;1;19;2026-04-08;2026-04-14;ksw015/ft3/k1/014/p1*uграфит;494186307;;необработанный край;Высокий;% выкупа;край;;;0.6158970800441389;0.5404238619;0.5781604709;"WB: поднять выкуп — размерная сетка, фото посадки, описание ткани/посадки, ответы на отзывы. наблюдение, без резких действий Фокус по варианту/подсказке: край. 31 ед. спроса за 7 дн. (оценка); остаток 718 шт (~161 дн.); осн. склад 637 шт; выкуп 44%; возвраты 7д 4%";WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа.;"31 ед. спроса за 7 дн. (оценка); остаток 718 шт (~161 дн.); осн. склад 637 шт; выкуп 44%; возвраты 7д 4%";Размерная сетка, фото посадки, описание ткани и посадки, блок вопросов/ответов.;Разобрать негатив по размеру/качеству/цвету, добавить пояснения в карточку и изображения.;Проверить соответствие цены ожиданиям клиента и связку цена ↔ качество ↔ комплектация.;"Проверить, где артикул реально доступен быстро; убрать просадки по регионам.";"Сравнить выкуп, возвраты и конверсию в заказ; решить, что масштабировать дальше."
WB;Анастасия;1;20;2026-04-08;2026-04-14;kss025/ft3/k1/003/p1*dкофейный;569522107;;юбка шорты малыш;Высокий;Отменили;;;;1 кв.;0;;WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий;WB: наблюдение, без резких действий.;;Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;2;1;2026-04-09;2026-04-15;kss026/sph/k1/001/p1*uхаки;569513775;3630225653;хаки;Высокий;Отменили;хаки;;;1 кв.;2;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий Фокус по варианту/подсказке: хаки. 32 ед. спроса за 7 дн. (оценка); остаток 287 шт (~63 дн.); осн. склад 1 413 шт; выкуп 50%; возвраты 7д 3%";WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа.;"32 ед. спроса за 7 дн. (оценка); остаток 287 шт (~63 дн.); осн. склад 1 413 шт; выкуп 50%; возвраты 7д 3%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;2;2;2026-04-09;2026-04-15;kss026/sph/k1/001/p1*uтемно-зеленый;569513777;3630225652;пиксель;Высокий;Отменили;т-зелёный;;;1 кв.;1;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий Фокус по варианту/подсказке: т-зелёный. 5 ед. спроса за 7 дн. (оценка); остаток 354 шт (~463 дн.); осн. склад 1 308 шт; выкуп 46%; возвраты 7д 0%";WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа.;"5 ед. спроса за 7 дн. (оценка); остаток 354 шт (~463 дн.); осн. склад 1 308 шт; выкуп 46%; возвраты 7д 0%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
WB;Анастасия;2;3;2026-04-09;2026-04-15;kss026/sph/k1/001/p1*uболотный;569513778;3630225654;камуфляж;Высокий;Отменили;болотный;;;1 кв.;0;;"WB: снизить отмены — проверить вариации/комплектацию, точность наличия, обещание доставки и карточку. наблюдение, без резких действий Фокус по варианту/подсказке: болотный. 9 ед. спроса за 7 дн. (оценка); остаток 303 шт (~229 дн.); осн. склад 1 238 шт; выкуп 49%; возвраты 7д 0%";WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа.;"9 ед. спроса за 7 дн. (оценка); остаток 303 шт (~229 дн.); осн. склад 1 238 шт; выкуп 49%; возвраты 7д 0%";Проверить карточку: размерная сетка, комплектность, цвета/варианты, обещания в описании и FAQ.;"Сверить цену, скидку, акцию и условия доставки; убрать то, что тянет плохой трафик и отмены.";Проверить остатки и кластеры, исключить ложное наличие и слишком длинный срок доставки.;Посмотреть поисковые запросы, тексты и отзывы с негативом, закрыть частые причины отмен.;Сравнить отмены/выкуп до и после правок, зафиксировать решение: оставить / масштабировать / вернуть на доработку.
