platform;manager;pack_number;pack_date;due_date;seller_article;wb_article;ozon_article;name;focus_metric;priority
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;636/mkb002/sph/k3/005/p1/W*dмолочный,розовый;17676901;428484168;принцесса;Отменили;Средний
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;brk005/spl/k3/019/p1*uчерный,серый,синий;467114670;2522428960;малыши 3 шт ломпас;Отменили;Средний
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;brk012/ft2/k1/017/p1*mсиний;461224649;2226678387;школа гусинная лапка;% выкупа;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;brk012/ft2/k1/018/p1*mсиний;503891710;3296374072;школа синие однотон;Кол продаж;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;brk018/int/k3/005/p1*mчерный,зеленый,синий;247229875;1174645555;малыши 3 шт;Отменили;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;brk020/ft2/k1/005/p1*dсерый_меланж;566476239;3630322522;шаравары без манж;Отменили;Критично
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss023/sph/k1/002/p1*dрозовый;348231025;1463255977;велоспорт 2 шт;Отменили;Средний
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss023/sph/k1/002/p1*dсалатовый;153796741;523946777;велоспорт 2 шт;Отменили;Средний
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss024/spl/k1/001/p1*dбирюзовый;411181679;1725102622;велоспорт 3 шт;Отменили;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss024/spl/k1/001/p1*dсалатовый;411181682;1725102611;велоспорт 3 шт;Отменили;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss025/ft2/k1/001/p1*dментол;411181683;1725118436;юбка-шорты;Отменили;Средний
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss025/ft2/k1/001/p1*dфиолетовый;411181685;1725110120;юбка-шорты;Отменили;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss025/spl/k1/002/p1*dграфит;566490730;3630094135;юбка-шорты;Отменили;Средний
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss026/sph/k1/001/p1*uболотный;569513778;3630225654;камуфляж;% выкупа;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss026/sph/k1/001/p1*uтемно-зеленый;569513777;3630225652;пиксель;Сумма заказов;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;kss026/sph/k1/001/p1*uхаки;569513775;3630225653;хаки;% выкупа;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;leg001/spl/k3/013/p1*dоранжевый,зеленый;566478649;3594714138;3 шт;Отменили;Высокий
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;lng001/sph/k1/003/p1*uсиний,белый;67018717;428199598;Лонгслив полоска;% выкупа;Средний
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;lng001/spl/k1/035/p1*uбелый,синий,красный;493240788;2720739611;Лонгслив красно-сине-белая полоска;Отменили;Средний
Ozon;Ирина Паламарук;1;2026-04-08;2026-04-14;shr006/spl/k3/015/p1*uчерный,красный,молочный;440399475;1958579119;велосипедки 3 шт;Отменили;Высокий
Ozon;Ирина Паламарук;2;2026-04-09;2026-04-15;603/pjm001/sph/k1/013/p1/W*dбелый,розовый;17427731;428550118;единорог;Отменили;Средний
