assignment,seller_article,wb_article,ozon_article,wb_status,ozon_status,category,name
common_wb_ozon,"brk005/spl/k3/019/p1*uчерный,серый,синий",467114670,2522428960,,,Брюки,малыши 3 шт ломпас
common_wb_ozon,brk012/ft2/k1/017/p1*mсиний,461224649,2226678387,,,Брюки,школа гусинная лапка
common_wb_ozon,brk012/ft2/k1/018/p1*mсиний,503891710,3296374072,,,Брюки,школа синие однотон
common_wb_ozon,"brk018/int/k3/005/p1*mчерный,зеленый,синий",247229875,1174645555,,,Брюки,малыши 3 шт
common_wb_ozon,brk020/ft2/k1/005/p1*dсерый_меланж,566476239,3630322522,,,Брюки,шаравары без манж
common_wb_ozon,kss023/sph/k1/002/p1*dрозовый,348231025,1463255977,,,Костюмы,велоспорт 2 шт
common_wb_ozon,kss023/sph/k1/002/p1*dсалатовый,153796741,523946777,,,Костюмы,велоспорт 2 шт
common_wb_ozon,kss024/spl/k1/001/p1*dбирюзовый,411181679,1725102622,,,Костюмы,велоспорт 3 шт
common_wb_ozon,kss024/spl/k1/001/p1*dсалатовый,411181682,1725102611,,,Костюмы,велоспорт 3 шт
common_wb_ozon,kss025/ft2/k1/001/p1*dментол,411181683,1725118436,,,Костюмы,юбка-шорты
common_wb_ozon,kss025/ft2/k1/001/p1*dфиолетовый,411181685,1725110120,,,Костюмы,юбка-шорты
common_wb_ozon,kss025/spl/k1/002/p1*dграфит,566490730,3630094135,,,Костюмы,юбка-шорты
common_wb_ozon,kss026/sph/k1/001/p1*uболотный,569513778,3630225654,,,Костюмы,камуфляж
common_wb_ozon,kss026/sph/k1/001/p1*uтемно-зеленый,569513777,3630225652,,,Костюмы,пиксель
common_wb_ozon,kss026/sph/k1/001/p1*uхаки,569513775,3630225653,,,Костюмы,хаки
common_wb_ozon,"leg001/spl/k3/013/p1*dоранжевый,зеленый",566478649,3594714138,,,Леггинсы,3 шт
common_wb_ozon,"lng001/sph/k1/003/p1*uсиний,белый",67018717,428199598,,,Лонгсливы,Лонгслив полоска
common_wb_ozon,"lng001/spl/k1/035/p1*uбелый,синий,красный",493240788,2720739611,,,Лонгсливы,Лонгслив красно-сине-белая полоска
common_wb_ozon,"636/mkb002/sph/k3/005/p1/W*dмолочный,розовый",17676901,428484168,,,Майки,принцесса
common_wb_ozon,mkb000/sph/k5/012/p1*d,168782035,1083898935,,,Майки,ОЕ 5 шт девочка
common_wb_ozon,"mkb002/sph/k4/048/p1*dзеленый,оранжевый,розовый",391960792,1725122392,,,Майки,тонкие бретель
common_wb_ozon,"mkb002/sph/k4/050/p1*dрозовый,желтый",387100275,1640201473,,,Майки,тонкие бретель
common_wb_ozon,"603/pjm001/sph/k1/013/p1/W*dбелый,розовый",17427731,428550118,,,Пижамы,единорог
common_wb_ozon,"603/pjm004/3/sph/k1/001/p1/W*dбелый,розовый",13046901,428680996,,,Пижамы,единорог розовый
common_wb_ozon,"pjm001/sph/k1/032/p1*dмолочный,бордовый",252658788,1196013126,,,Пижамы,сердца
common_wb_ozon,"pjm001/sph/k1/032/p2*dмолочный,бордовый",304023819,1308344065,,,Пижамы,сердца
common_wb_ozon,"pjm003/sph/k1/016/p1*dмолочный,бордовый",242064209,1288886328,,,Пижамы,сердечки
common_wb_ozon,"pjm003/sph/k1/016/p2*dмолочный,бордовый",306463337,1369494467,,,Пижамы,сердечки
common_wb_ozon,pjm003/sph/k1/019/p1*dбежевый,402085849,1701188406,,,Пижамы,сердечки леопапрд
common_wb_ozon,plw006/ksh/k1/001/p1*dчерный,246954528,1192719064,,,Платья,лапша
