assignment,seller_article,wb_article,ozon_article,wb_status,ozon_status,category,name
wb_only,"brk018/int/k3/005/p1*mчерный,с-меланж,хаки",578603275,3957157408,,,Брюки,малыши 3 шт
wb_only,"shr006/spl/k3/015/p1*uкоралловый,молочный",449731397,,,,Велосипедки,велосипедки 3 шт
wb_only,"shr006/spl/k3/015/p1*uрозовый,голубой",449731398,,,,Велосипедки,велосипедки 3 шт
wb_only,"shr006/spl/k4/043/p1*dмолочный,пудровый",578628192,,,,Велосипедки,велосипедки 4 шт
wb_only,kss025/ft3/k1/003/p1*dкофейный,569522107,,,,Костюмы,юбка шорты малыш
wb_only,kss026/spl/k1/002/p1*dграфит,773225612,3960545218,,,Костюмы,Костюм футболка с брюками
wb_only,kss026/spl/k1/002/p1*dпесочный,773225617,,,,Костюмы,Костюм футболка с брюками палаццо
wb_only,ksw015/ft3/k1/014/p1*uграфит,494186307,,,,Костюмы,необработанный край
wb_only,leg001/spl/k1/015/p1*dчерный,566478652,,,,Леггинсы,3 шт
wb_only,"leg001/spl/k1/016/p1*dчерный,белый",566478653,,,,Леггинсы,3 шт
wb_only,leg001/spl/k3/007/p1*dчерный,839519735,,,,Леггинсы,Леггинсы (лосины) детские набор 3 штуки
wb_only,"leg001/spl/k3/009/p1*dчерный,розовый",566478642,,,,Леггинсы,3 шт
wb_only,mkb002/sph/k3/046/p1*d,168926514,,,,Майки,ажурка
wb_only,mkb002/sph/k3/047/p1*dбледно-розовый,330907249,1539132159,,,Майки,принцесса нов
wb_only,"pjm001/sph/k1/030/p1*dбелый,серый,красный",525030042,949002484,,,Пижамы,котики
wb_only,"pjm001/sph/k1/043/p1*mмолочный,желтый",494871206,2844072743,,,Пижамы,трактор
wb_only,pjm001/sph/k1/044/p1*dбежевый,494871213,2889346405,,,Пижамы,сердца леопард
wb_only,pjm001/sph/k1/044/p1*dперсиковый,705961686,,,,Пижамы,MIKIVIKI лиса
wb_only,pjm001/sph/k1/044/p1*dпудровый,705961687,,,,Пижамы,MIKIVIKI кексы
wb_only,"pjm002/int/k1/025/p1*dмолочный,красный",608392697,3959278405,,,Пижамы,сердца мал
wb_only,pjm002/int/k1/025/p1*dрозовый,608392694,,,,Пижамы,сердца роз
wb_only,"pjm002/sph/k1/017/p1*dрозовый,серый",494854609,,,,Пижамы,полоска кошка
wb_only,pjm005/sph/k1/008/p1*dкоричневый,494808826,,,,Пижамы,леопард
wb_only,"pjm015/int/k1/001/p1*dмолочный,бордовый",548860917,,,,Пижамы,вишня
wb_only,pjm015/int/k1/001/p1*dрозовый,494854642,2777044161,,,Пижамы,сердца роз
wb_only,pjm015/sph/k1/002/p1*dмолочный,548860915,,,,Пижамы,"Пижама 3 в 1 футболка, лолонгслив, брюки"
wb_only,"pjm016/sph/k1/001/p1*dрозовый,черный",649194400,,,,Пижамы,короны
wb_only,"pjm016/sph/k1/001/p1*dчерный,бежевый",649194381,,,,Пижамы,черный мишка
wb_only,356/ftb001/sph/k2/012/p1/W*mбелый,13311287,429302893,,,Футболки,Футболка белая 2 шт
wb_only,ftb001/sph/k1/054/p1*uчерный,493274573,,,,Футболки,Новый год
wb_only,ftb003/sph/k1/036/p1*dчерный,566486802,,,,Футболки,Новый год
wb_only,shr002/ft2/k1/008/p1*uчерный,566483872,,,,Шорты,белкина
wb_only,shr002/ft2/k1/009/p1*uчерный,566483871,3761185668,,,Шорты,найк
