platform,wb_article,ozon_article,seller_article,name,issue_metrics,plan_orders_day,fact_orders_day,plan_sales_day,fact_sales_day,plan_margin_day,fact_margin_day,action,attention_note
Ozon,566476239,3630322522,brk020/ft2/k1/005/p1*dсерый_меланж,шаравары без манж,Отменили,0.0,3.7143,0.0,2.0,0.0,1347.15,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 122 · покрытие 61,0 дн."
Ozon,168782035,1083898935,mkb000/sph/k5/012/p1*d,ОЕ 5 шт девочка,Отменили,18.3333,23.5714,15.7667,18.7143,6385.5,7817.66,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 5 шт. · запас 576 · покрытие 30,8 дн."
Ozon,320386166,1386320310,"pjm003/sph/k1/012/p1*dзеленый,розовый",Пижамы,Отменили,3.3333,10.2857,0.0,7.1429,0.0,1351.59,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 1 шт. · запас 151 · покрытие 21,1 дн."
Ozon,247229875,1174645555,"brk018/int/k3/005/p1*mчерный,зеленый,синий",малыши 3 шт,Отменили,11.6667,29.4286,9.1,21.8571,5678.4,12582.05,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 9 шт. · запас 843 · покрытие 38,6 дн."
Ozon,246954528,1192719064,plw006/ksh/k1/001/p1*dчерный,лапша,Отменили,5.0,5.2857,2.85,3.2857,780.9,360.61,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 2 шт. · запас 1 429 · покрытие 434,9 дн."
Ozon,304023819,1308344065,"pjm001/sph/k1/032/p2*dмолочный,бордовый",сердца,Отменили,2.6667,4.4286,1.92,3.1429,729.6,1032.05,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 1 шт. · запас 659 · покрытие 209,7 дн."
Ozon,503891710,3296374072,brk012/ft2/k1/018/p1*mсиний,школа синие однотон,Кол продаж,5.0,4.8571,2.25,2.4286,1354.72,1518.87,"Продажи: проверить SEO, контент, цену, ставки и поисковую видимость карточки. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Продажи: план/д 2,2 · факт/д 2,4 · Δ 7,9%"
Ozon,461224649,2226678387,brk012/ft2/k1/017/p1*mсиний,школа гусинная лапка,% выкупа,9.1667,0.4286,4.4,0.2857,2435.4,1369.02,"Выкуп: проверить размерную сетку, посадку, отзывы, фото и первый экран карточки. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Выкуп: план 93,6% · факт 2,0%"
Ozon,566490730,3630094135,kss025/spl/k1/002/p1*dграфит,юбка-шорты,Отменили,5.0,8.0,3.2,5.0,2064.0,4489.69,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 2 шт. · запас 135 · покрытие 27,0 дн."
Ozon,391960792,1725122392,"mkb002/sph/k4/048/p1*dзеленый,оранжевый,розовый",тонкие бретель,Отменили,20.0,24.2857,17.4,17.8571,6003.0,5625.29,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 9 шт. · запас 470 · покрытие 26,3 дн."
Ozon,387100275,1640201473,"mkb002/sph/k4/050/p1*dрозовый,желтый",тонкие бретель,Отменили,10.0,19.8571,8.6,15.7143,2967.0,5560.78,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 6 шт. · запас 572 · покрытие 36,4 дн."
Ozon,17676901,428484168,"636/mkb002/sph/k3/005/p1/W*dмолочный,розовый",принцесса,Отменили,20.9417,20.1429,18.0098,17.2857,6483.54,6504.38,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 3 шт. · запас 1 262 · покрытие 73,0 дн."
Ozon,13046901,428680996,"603/pjm004/3/sph/k1/001/p1/W*dбелый,розовый",единорог розовый,Отменили,5.0,12.5714,4.25,7.5714,1530.0,2446.01,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 5 шт. · запас 442 · покрытие 58,4 дн."
Ozon,17427731,428550118,"603/pjm001/sph/k1/013/p1/W*dбелый,розовый",единорог,Отменили,6.6667,6.7143,5.3333,5.7143,1674.67,1898.98,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 1 шт. · запас 2 158 · покрытие 377,7 дн."
Ozon,313719867,1354340407,"pjm001/sph/k1/039/p1*dсерый,розовый",Пижамы,% выкупа,3.3333,6.5714,2.6667,6.1429,474.0,862.69,"Выкуп: проверить размерную сетку, посадку, отзывы, фото и первый экран карточки. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Выкуп: план 91,4% · факт 109,0%"
Ozon,348231025,1463255977,kss023/sph/k1/002/p1*dрозовый,велоспорт 2 шт,Отменили,6.6667,5.7143,5.3333,4.7143,2192.0,1431.99,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 4 шт. · запас 1 696 · покрытие 359,8 дн."
Ozon,252658788,1196013126,"pjm001/sph/k1/032/p1*dмолочный,бордовый",сердца,Отменили,1.5417,6.4286,1.1562,5.2857,370.0,1833.68,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 2 шт. · запас 324 · покрытие 61,3 дн."
Ozon,168926514,609684795,mkb002/sph/k3/046/p1*dбелый,Майки для девочки,Отменили,5.0,6.7143,4.25,3.8571,1912.5,1379.53,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 3 шт. · запас 443 · покрытие 114,9 дн."
Ozon,153796741,523946777,kss023/sph/k1/002/p1*dсалатовый,велоспорт 2 шт,Отменили,3.3333,3.8571,1.5667,1.8571,775.5,680.97,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 1 шт. · запас 1 123 · покрытие 604,7 дн."
Ozon,306463337,1369494467,"pjm003/sph/k1/016/p2*dмолочный,бордовый",сердечки,Отменили,5.0,5.7143,3.8,3.1429,1881.0,1281.87,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 247 · покрытие 78,6 дн."
Ozon,242064209,1288886328,"pjm003/sph/k1/016/p1*dмолочный,бордовый",сердечки,Отменили,5.0,6.4286,4.0,3.5714,1560.0,1285.12,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 2 шт. · запас 521 · покрытие 145,9 дн."
Ozon,67018717,428199598,"lng001/sph/k1/003/p1*uсиний,белый",Лонгслив полоска,% выкупа,40.0,3.4286,28.4,2.7143,8236.0,1276.03,"Выкуп: проверить размерную сетку, посадку, отзывы, фото и первый экран карточки. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Выкуп: план 83,5% · факт 91,7%"
Ozon,493240788,2720739611,"lng001/spl/k1/035/p1*uбелый,синий,красный",Лонгслив красно-сине-белая полоска,Отменили,5.0,1.7143,3.2,1.8571,704.0,177.07,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 437 · покрытие 235,3 дн."
Ozon,411181683,1725118436,kss025/ft2/k1/001/p1*dментол,юбка-шорты,Отменили,5.0,1.7143,3.65,1.2857,2682.75,868.55,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 276 · покрытие 214,7 дн."
Ozon,467114670,2522428960,"brk005/spl/k3/019/p1*uчерный,серый,синий",малыши 3 шт ломпас,Отменили,5.0,1.0,4.0,0.8571,1600.0,370.14,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 51 · покрытие 59,5 дн."
Ozon,181895144,948909875,"pjm001/int/k1/018/p1*uбелый,серый,красный",Пижамы,Отменили,3.3333,0.2857,0.0,0.4286,0.0,114.6,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 228 · покрытие 532,0 дн."
Ozon,569513775,3630225653,kss026/sph/k1/001/p1*uхаки,хаки,% выкупа,3.3333,3.8571,2.1333,2.4286,1146.67,865.31,"Выкуп: проверить размерную сетку, посадку, отзывы, фото и первый экран карточки. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Выкуп: план 81,7% · факт 60,6%"
Ozon,569513777,3630225652,kss026/sph/k1/001/p1*uтемно-зеленый,пиксель,Сумма заказов,3.3333,2.7143,2.1333,2.0,1146.67,699.63,"Маржа: пересчитать цену, акции, DRR, рекламу и влияние на PnL до следующего пересмотра. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Продажи: план/д 2,1 · факт/д 2,0 · маржа 700 ₽/д"
Ozon,320386167,1386320558,"pjm003/sph/k1/012/p2*dзеленый,розовый",Пижамы,Отменили,3.3333,7.0,0.0,5.7143,0.0,1273.3,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 623 · покрытие 109,0 дн."
Ozon,411181685,1725110120,kss025/ft2/k1/001/p1*dфиолетовый,юбка-шорты,Отменили,5.0,3.0,3.55,1.5714,2609.25,1148.21,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 289 · покрытие 183,9 дн."
Ozon,494808823,3677368418,"pjm005/sph/k1/008/p1*dрозовый,белый",виктория сикрет,Отменили,6.6667,3.5714,5.2667,2.4286,2212.0,892.82,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 1 шт. · запас 281 · покрытие 115,7 дн."
Ozon,411181679,1725102622,kss024/spl/k1/001/p1*dбирюзовый,велоспорт 3 шт,Отменили,2.0,2.0,1.54,1.2857,831.6,841.88,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 221 · покрытие 171,9 дн."
Ozon,566478649,3594714138,"leg001/spl/k3/013/p1*dоранжевый,зеленый",3 шт,Отменили,23.225,1.1429,15.5608,1.2857,12643.11,502.72,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 1 шт. · запас 85 · покрытие 66,1 дн."
Ozon,402085849,1701188406,pjm003/sph/k1/019/p1*dбежевый,сердечки леопапрд,Отменили,5.0,2.8571,3.8,2.4286,1596.0,673.22,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 149 · покрытие 61,4 дн."
Ozon,411181682,1725102611,kss024/spl/k1/001/p1*dсалатовый,велоспорт 3 шт,Отменили,2.0,1.7143,1.52,1.0,820.8,555.8,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 0 шт. · запас 130 · покрытие 130,0 дн."
Ozon,569513778,3630225654,kss026/sph/k1/001/p1*uболотный,камуфляж,% выкупа,3.3333,0.8571,2.1333,0.8571,1146.67,197.53,"Выкуп: проверить размерную сетку, посадку, отзывы, фото и первый экран карточки. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Выкуп: план 50,0% · факт 75,0%"
Ozon,440399475,1958579119,"shr006/spl/k3/015/p1*uчерный,красный,молочный",велосипедки 3 шт,Отменили,1.6667,1.1429,1.45,0.8571,587.25,560.22,"Отмены: проверить наличие, сроки доставки, кластера, комплектность и доступность товара. Контроль: зафиксировать изменения, результат и следующий шаг в комментарии по артикулу.","Отмены: 1 шт. · запас 572 · покрытие 667,3 дн."
