"Артикул";"Ozon Product ID";"SKU";"Количество товара в кванте";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Метки";"Отзывы";"Рейтинг";"Причины скрытия";"Дата создания";"Категория";"Тип";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Размер НДС, %";"Ошибки";"Предупреждения"
"'wbgetsizegel";"90977096";"288346567";;"4631146952982";"Возбуждающая смазка лубрикант для увеличения члена на водной основе съедобная, Алтея, Getsize, 30 мл";"'100";"Алтея";"Продается";;"1366";"'4.50";;"2021-07-09 13:07:56";"Интимная косметика";"Возбуждающее средство";"'0.13";"'0.1";"420";"0";"0";"0";"0";"1000.00";"3510.00";;"22%";;
"'wbgetsize";"90981606";"286744793";;"4631146952975";"Насадка для увеличения члена, мастурбатор, секс игрушки, Getsize";"'100";"Алтея";"Продается";;"1148";"'4.60";;"2021-07-09 13:53:07";"Секс игрушки";"Эрекционное кольцо";"'1.97";"'0.6";"203";"0";"0";"0";"0";"1035.00";"5895.00";;"22%";;
"'pantogor";"93682604";"288894202";;"4631136905059";"Мазь для суставов, крем от боли в суставах обезболивающая, панты марала бальзам Алтея, Пантогор, 30 мл";"'100";"Алтея";"Продается";;"4163";"'4.80";;"2021-07-14 12:05:45";"Парафармацевтика";"Лечебное средство";"'0.12";"'0.1";"159";"0";"0";"0";"0";"605.00";"1432.00";;"22%";;
"'wbvaritox";"93802391";"289030651";;"4631137125906";"Крем от варикоза усталости и отеков ног охлаждающий Varitox, 30 мл";"'100";"Алтея";"Готов к продаже";;"855";"'4.50";;"2021-07-14 15:32:21";"Парафармацевтика";"Лечебное средство";"'0.18";"'0.2";"0";"0";"0";"0";"0";"810.00";"1440.00";;"22%";;
"'wbsinergel";"93804954";"289049035";;"4631151878550";"Мазь для суставов обезболивающая с глюкозамин Алтея, Синергель, 30 мл";"'82";"Алтея";"Продается";;"9851";"'4.80";;"2021-07-14 16:00:48";"Парафармацевтика";"Лечебное средство";"'0.15";"'0.1";"1058";"3";"0";"0";"0";"703.00";"1189.00";;"22%";;
"'wbbiotrin";"94340859";"289386465";;"4631143681571";"Мазь для суставов обезболивающая, панты морала,коллаген, хондротин, глюкозамин, Биотрин, 30 мл";"'100";"Алтея";"Продается";;"2648";"'4.70";;"2021-07-15 11:17:27";"Парафармацевтика";"Лечебное средство";"'0.14";"'0.1";"91";"0";"0";"0";"0";"1222.00";"8535.00";;"22%";;
"'wbgetsize1gel2";"94782037";"290029361";;"2252096556260";"Эрекционное кольцо для мужчин, насадка на член, кольцо для эрекции, товары для взрослых";"'82";"Алтея";"Готов к продаже";;"191";"'0.00";;"2021-07-16 10:15:17";"Секс игрушки";"Эрекционное кольцо";"'1.94";"'0.4";"0";"0";"0";"0";"0";"2154.00";"6622.00";;"22%";;
"'dolgar";"94939255";"290413438";;"4631153669927";"Мазь от грибка ногтей на ногах, противогрибковое средство с коллоидным серебром, Алтея, Долгар, 15 мл";"'100";"Алтея";"Продается";;"2550";"'4.60";;"2021-07-16 13:15:31";"Парафармацевтика";"Лечебное средство";"'0.12";"'0.1";"117";"0";"0";"0";"0";"1500.00";"5693.00";;"22%";;
"'trezor";"94944505";"290202723";;"4631153593390";"От алкогольной зависимости, средство от алкоголизма, Алтея, Трезор, 10 стиков";"'100";"Алтея";"Продается";;"1921";"'4.50";;"2021-07-16 13:38:31";"Парафармацевтика";"Пищевая добавка";"'0.13";"'0.1";"234";"5";"0";"0";"0";"695.00";"1708.00";;"22%";;
"'wbneomaxblue";"96287249";"295356614";;"4631148520929";"Таблетки для мужчин для секса, возбудитель, средство для потенции и эрекции,витамины для мужчины, Neomax blue, Неомаксблу, 10 штук";"'100";"Алтея";"Готов к продаже";;"1466";"'4.40";;"2021-07-19 14:48:10";"Парафармацевтика";"Пищевая добавка";"'0.12";"'0.1";"0";"0";"0";"0";"0";"608.00";"1841.00";;"22%";;
"'wbneomax";"96302335";"291910198";;"4631148520912";"Таблетки для мужчин для секса, возбудитель, средство для потенции и эрекции, витамины для мужчины, Neomax, Неомакс, 13 штук";"'100";"Алтея";"Готов к продаже";;"1294";"'4.40";;"2021-07-19 14:57:30";"Парафармацевтика";"Пищевая добавка";"'0.24";"'0.1";"0";"0";"0";"0";"0";"635.00";"2095.00";;"22%";;
"'wbmicelix";"96317107";"291845947";;"4631146328114";"Комплекс Детокс для очищения печени и кишечника, для похудения, детокc для печени, Алтея, Мицеликс, 10 шт";"'82";"Алтея";"Продается";;"5683";"'4.80";;"2021-07-19 15:38:10";"Парафармацевтика";"Пищевая добавка";"'0.35";"'0.1";"2077";"0";"0";"0";"0";"759.00";"2030.00";;"22%";;
"'wboptitrin";"96317961";"291860206";;"4631136905394";"Витамины для глаз, лютеин комплекс для зрения, Оптитрин, 7 ампул";"'100";"Алтея";"Продается";;"749";"'4.70";;"2021-07-19 15:50:18";"БАДы и витамины";"Витаминный комплекс";"'0.68";"'0.1";"472";"10";"0";"0";"0";"680.00";"1636.00";;"22%";;
"'wbalkotoxic";"102697986";"299140637";;"4631136905127";"Капли от алкогольной зависимости, от алкоголизма от запоя, от похмелья Alkotoxic, 10 мл";"'100";"Алтея";"Готов к продаже";;"1031";"'4.50";;"2021-07-27 14:53:35";"Парафармацевтика";"Пищевая добавка";"'0.12";"'0.1";"0";"0";"0";"0";"0";"649.00";"1387.00";;"22%";;
"'fruitalica";"104470557";"301630774";;"4631152226077";"Таблетки для похудения, жиросжигатель, детокс Алтея, Фруталика, 10 капсул";"'82";"Алтея";"Продается";;"1379";"'4.60";;"2021-07-30 11:20:32";"БАДы и витамины";"БАД для снижения веса";"'0.15";"'0.1";"134";"0";"0";"0";"0";"900.00";"1394.00";;"22%";;
"'sanatsin";"104485828";"296756085";;"4631136905264";"От паразитов, от глистов комплекс, Алтея, Санацин, 20 штук";"'100";"Алтея";"Продается";;"3143";"'4.80";;"2021-07-30 11:47:45";"Парафармацевтика";"Антипаразитарное средство";"'0.13";"'0.1";"120";"0";"0";"0";"0";"798.00";"2088.00";;"22%";;
"'glikiron";"104503440";"296790094";;"4631155368231";"Витаминный комплекс пищевая добавка для диабетиков Гликирон. Для иммунитета, для энергии. Сахарный диабет / 50 мл";"'82";"Алтея";"Продается";;"1511";"'4.50";;"2021-07-30 12:22:24";"Парафармацевтика";"Пищевая добавка";"'0.20";"'0.1";"205";"0";"0";"0";"0";"610.00";"1285.00";;"22%";;
"'adenofrin";"104543734";"296818197";;"4631155494015";"Возбудитель для мужчин, для эрекции, для потенции, для секса. 18+ / Аденофрин";"'87.5";"Алтея";"Готов к продаже";;"3320";"'4.60";;"2021-07-30 13:27:57";"Парафармацевтика";"Пищевая добавка";"'0.29";"'0.1";"0";"0";"0";"0";"0";"670.00";"1297.00";;"22%";;
"'micardin";"104546014";"296818697";;"4631154425492";"Средство от давления, витамины для сердца, чистка сосудов, Алтея, Микардин, 10 капсул";"'100";"Алтея";"Продается";;"4943";"'4.80";;"2021-07-30 13:34:25";"Парафармацевтика";"Пищевая добавка";"'0.12";"'0.1";"681";"0";"0";"0";"0";"775.00";"2151.00";;"22%";;
"'micolan";"114529232";"307654206";;"4631153669934";"Мазь от грибка ногтей на ногах, противогрибковое средство с коллоидным серебром, Алтея, Миколан, 15 мл";"'82";"Алтея";"Продается";;"1470";"'4.60";;"2021-08-19 20:47:13";"Парафармацевтика";"Лечебное средство";"'0.10";"'0.1";"144";"0";"0";"0";"0";"562.00";"1340.00";;"22%";;
