manager,channel,date,pack,sellerArticle,platformArticle,name,priority,action,reason,planOrdersDay,planRevenueDay,planMarginIncomeDay,factOrdersDay,factMoneyDay,mpStock,coverageDays,supplyNeed
Ирина Паламарук,Ozon,2026-04-05,1,brk019/ft2/k1/001/p1*dсерый_меланж,2226217528.0,шаравары с манж,Критично,"Ozon: срочно пополнить ~1 376 шт с основного склада. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",359 заказов за 7 дн.; остаток 675 шт (~13 дн.); осн. склад 10 325 шт; отмена 30д 37%; активных возвратов 1 461 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,54.55,76909.09,23072.73,51.29,33736.95,675.0,13.2,1376.0
Ирина Паламарук,Ozon,2026-04-05,1,"356/mkb002/sph/k3/026/p1/W*dбелый,светло-розовый",428350983.0,сердечки,Критично,"Ozon: срочно пополнить ~855 шт с основного склада. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",203 заказов за 7 дн.; остаток 305 шт (~11 дн.); осн. склад 1 891 шт; отмена 30д 14%; активных возвратов 408 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,27.27,26345.45,7903.64,29.0,16688.93,305.0,10.5,855.0
Ирина Паламарук,Ozon,2026-04-05,1,"mkb004/sph/k5/038/p1*mбелый,синий",1386230202.0,ОЕ 5 шт. мальчик,Критично,"Ozon: срочно пополнить ~809 шт с основного склада. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",209 заказов за 7 дн.; остаток 385 шт (~13 дн.); осн. склад 2 038 шт; отмена 30д 10%; активных возвратов 233 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,36.36,41236.36,12370.91,29.86,12914.67,385.0,12.9,809.0
Ирина Паламарук,Ozon,2026-04-05,1,"603/pjm003/sph/k1/004/p1/W*dрозовый,белый",559412129.0,Пижама для девочки с шортами,Критично,"Ozon: срочно готовить пополнение, целевой объем ~741 шт. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",130 заказов за 7 дн.; остаток 2 шт (~0 дн.); отмена 30д 13%; активных возвратов 79 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,,,,18.57,2063.06,2.0,0.1,741.0
Ирина Паламарук,Ozon,2026-04-05,1,brk019/ft2/k1/001/p1*dчерный,3296374066.0,шаравары с манж,Критично,"Ozon: срочно пополнить ~715 шт с основного склада. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",147 заказов за 7 дн.; остаток 125 шт (~6 дн.); осн. склад 6 606 шт; отмена 30д 41%; активных возвратов 392 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,27.27,32986.36,9895.91,21.0,8755.13,125.0,6.0,715.0
Ирина Паламарук,Ozon,2026-04-05,1,"mkb002/sph/k4/053/p1*dмолочный,желтый",2013277470.0,тонкие бретель,Критично,"Ozon: срочно пополнить ~561 шт с основного склада. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",200 заказов за 7 дн.; остаток 582 шт (~20 дн.); осн. склад 2 766 шт; отмена 30д 15%; активных возвратов 358 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,20.45,21477.27,6443.18,28.57,13955.7,582.0,20.4,561.0
Ирина Паламарук,Ozon,2026-04-05,1,"pjm003/sph/k1/011/p2*dбелый,серый",1386272452.0,Пижамы,Критично,"Ozon: срочно готовить пополнение, целевой объем ~557 шт. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",147 заказов за 7 дн.; остаток 283 шт (~13 дн.); отмена 30д 12%; активных возвратов 104 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,4.55,3872.64,1161.79,21.0,3305.02,283.0,13.5,557.0
Ирина Паламарук,Ozon,2026-04-05,1,"pjm003/sph/k1/015/p2*dбежевый,коричневый",1308431553.0,Пижамы,Критично,"Ozon: срочно готовить пополнение, целевой объем ~480 шт. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",93 заказов за 7 дн.; остаток 51 шт (~4 дн.); отмена 30д 15%; активных возвратов 150 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,4.55,0.0,0.0,13.29,2035.73,51.0,3.8,480.0
Ирина Паламарук,Ozon,2026-04-05,1,"mkb002/sph/k4/056/p1*dжелтый,фиолетовый",2721170457.0,тонкие бретель,Критично,"Ozon: срочно пополнить ~466 шт с основного склада. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",127 заказов за 7 дн.; остаток 260 шт (~14 дн.); осн. склад 2 915 шт; отмена 30д 12%; активных возвратов 291 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,20.45,20700.0,6210.0,18.14,13323.66,260.0,14.3,466.0
Ирина Паламарук,Ozon,2026-04-05,1,"632/ftb001/sph/k1/008/p1/W*mбелый,желтый",429618605.0,Футболки,Критично,"Ozon: срочно готовить пополнение, целевой объем ~358 шт. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",80 заказов за 7 дн.; остаток 99 шт (~9 дн.); отмена 30д 15%; активных возвратов 203 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,4.55,1791.86,537.56,11.43,2473.57,99.0,8.7,358.0
Ирина Паламарук,Ozon,2026-04-05,1,"brk004/spl/k2/001/p1*uчерный,серый",2580888371.0,малыш шнурок 2 шт,Критично,"Ozon: срочно пополнить ~345 шт с основного склада. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов. Ozon: перепроверить минимальную цену и участие в акциях — есть риск неэффективной цены.",118 заказов за 7 дн.; остаток 329 шт (~20 дн.); осн. склад 7 346 шт; отмена 30д 20%; активных возвратов 162 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,11.36,13454.55,4036.36,16.86,4366.45,329.0,19.5,345.0
Ирина Паламарук,Ozon,2026-04-05,1,"pjm013/sph/k1/001/p1*uсерый_меланж,черный",947116582.0,скелет на велосипеде,Критично,"Ozon: срочно перевести с основного склада ~1 шт и добрать/произвести еще ~235 шт. Ozon: проверить размерную сетку, фото посадки и описание комплекта — много отказов/возвратов.",42 заказов за 7 дн.; остаток 4 шт (~1 дн.); осн. склад 1 шт; отмена 30д 11%; активных возвратов 12 шт; топ-причина: Покупатель отказался при вручении: товар не подошел,1.36,1876.36,562.91,6.0,537.14,4.0,0.7,236.0
