Дата;Площадка;Сотрудник;Пакет;Приоритет;Причина приоритета;Артикул;SKU;Товар;Что сделать сегодня;Комментарий из анализа;План заказов/день;План маржи/день;План выручки/день
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Цена / маржа / реклама требуют решения;67018717;lng001/sph/k1/003/p1*uсиний,белый;тельняшка;Проверить рабочую цену и целевую маржу, отключить или скорректировать неэффективную РК, в комментарии зафиксировать текущую рабочую цену и решение.;При возможности пересмотреть маржинальность в связи не конкурентной цены.;54.55;16846.36;56154.55
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Нехватка остатка / нужна поставка;262928228;mkb004/sph/k5/038/p1*mбелый,синий;ОЕ 5 шт. мальчик;Проверить остатки по размерам, сразу передать потребность координатору поставок, ограничить РК на пустых размерах и зафиксировать срок пополнения.;на данном артикуле на половине размеров остатки уже нулевые. Нужна поставка. Где я могу увидеть сколько есть на складах на сегодня, готовых к отгрузке? Отключаю РК, потому что неэффективно на 2 размера гнать РК. Соответсвенно план скорее всего не будет реализован за январь так точно. 405 единиц всего остаток на данном товаре на 2 размера. У одного из 1шт.;36.36;12370.91;41236.36
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Нехватка остатка / нужна поставка;436475509;mkb002/sph/k4/051/p1*dмолочный,персиковый;Майка бретельки тонкие;Проверить остатки по размерам, сразу передать потребность координатору поставок, ограничить РК на пустых размерах и зафиксировать срок пополнения.;Нет достаточного остатка для выполнения плана;27.27;8693.18;28977.27
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Артикул на вывод / распродажу;212759393;654/ksw017/f2n/k1/001/p1/W*dтемно-персиковый;лола коррал;Вести артикул к выводу: не наращивать РК, контролировать остаток и распродажу, в комментарии указать остаток, цену и срок полного выхода.;;13.64;7719.55;25731.82
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Артикул на вывод / распродажу;439694126;mkb002/sph/k4/053/p1*dмолочный,желтый;Майка бретельки тонкие 4 шт;Вести артикул к выводу: не наращивать РК, контролировать остаток и распродажу, в комментарии указать остаток, цену и срок полного выхода.;;20.45;6443.18;21477.27
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Артикул на вывод / распродажу;493266510;mkb002/sph/k4/055/p1*dкоралловый,мятный;Майка бретельки тонкие;Вести артикул к выводу: не наращивать РК, контролировать остаток и распродажу, в комментарии указать остаток, цену и срок полного выхода.;;20.45;5979.27;19930.91
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Артикул на вывод / распродажу;153796740;kss023/sph/k1/002/p1*dфуксия;Велоспорт 2 шт ;Вести артикул к выводу: не наращивать РК, контролировать остаток и распродажу, в комментарии указать остаток, цену и срок полного выхода.;. Установка была распродавать все костюмы по 950р. По 950р маржа скачет от +40% до -7% маржи. Цена около 1025р по 20% маржи ориентировочно. Зависит от процента выкупа;18.18;5490;18300
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Артикул на вывод / распродажу;461224649;brk012/ft2/k1/017/p1*mсиний;школа гусинная лапка ;Вести артикул к выводу: не наращивать РК, контролировать остаток и распродажу, в комментарии указать остаток, цену и срок полного выхода.;;12.5;3690;12300
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Артикул на вывод / распродажу;467114670;brk005/spl/k3/019/p1*uчерный,серый,синий;малыши 3 шт ломпас;Вести артикул к выводу: не наращивать РК, контролировать остаток и распродажу, в комментарии указать остаток, цену и срок полного выхода.;;6.82;3272.73;10909.09
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Артикул на вывод / распродажу;348231025;kss023/sph/k1/002/p1*dрозовый;Велоспорт 2 шт ;Вести артикул к выводу: не наращивать РК, контролировать остаток и распродажу, в комментарии указать остаток, цену и срок полного выхода.;;9.09;2989.09;9963.64
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Артикул на вывод / распродажу;246954528;plw006/ksh/k1/001/p1*dчерный;лапша;Вести артикул к выводу: не наращивать РК, контролировать остаток и распродажу, в комментарии указать остаток, цену и срок полного выхода.;Распродать по по 975р. А это на сегодня маража около 8%. В плане стоит 30%...;6.82;1597.3;5324.32
2026-04-02;Ozon;Ирина Паламарук;1/5;Критично;Артикул на вывод / распродажу;317396381;pjm001/sph/k1/039/p2*dсерый,розовый;Пижамы;Вести артикул к выводу: не наращивать РК, контролировать остаток и распродажу, в комментарии указать остаток, цену и срок полного выхода.;1450 +- ставим. при цене в 1475 это 6% маржи. При 43 часах СВД цена реализации должна быть около 2000р. Это почти в два раза выше оговоренных цен и текущего плана продаж.;4.55;1457.18;4857.27
