manager,channel,date,pack,sellerArticle,platformArticle,name,priority,action,reason,planOrdersDay,planRevenueDay,planMarginIncomeDay,factOrdersDay,factMoneyDay,mpStock,coverageDays,supplyNeed
Анастасия,WB,2026-04-05,1,brk018/ft2/k1/076/p1*mчерный,566475173.0,малыш стрелка,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~1 523 шт. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа.",348 ед. спроса за 7 дн. (оценка); остаток 715 шт (~14 дн.); выкуп 56%; возвраты 7д 11%,22.73,23527.27,7058.18,49.73,10788.39,715.0,14.4,1523.0
Анастасия,WB,2026-04-05,1,pjm001/sph/k1/044/p1*dрозовый,705961688.0,MIKIVIKI,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~359 шт.",56 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); выкуп 100%; возвраты 7д 0%,,,,7.97,310.16,0.0,0.0,359.0
Анастасия,WB,2026-04-05,1,"632/ftb001/sph/k1/008/p1/W*mбелый,желтый",15825512.0,Футболки,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~238 шт.",44 ед. спроса за 7 дн. (оценка); остаток 43 шт (~7 дн.); выкуп 85%; возвраты 7д 0%,0.0,0.0,0.0,6.23,640.76,43.0,6.9,238.0
Анастасия,WB,2026-04-05,1,"pjm001/sph/k2/044/p1*dсиреневый,розовый",494871211.0,Пижама для девочки набор 2 штуки,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~165 шт.",26 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); выкуп 100%; возвраты 7д 0%,0.0,0.0,0.0,3.67,126.53,0.0,0.0,165.0
Анастасия,WB,2026-04-05,1,"mkb002/sph/k3/058/p1*dмолочный,бежевый",705948411.0,трансферная,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~137 шт.",30 ед. спроса за 7 дн. (оценка); остаток 56 шт (~13 дн.); выкуп 88%; возвраты 7д 0%,13.64,,,4.3,1612.1,56.0,13.0,137.0
Анастасия,WB,2026-04-05,1,"pjm001/sph/k1/040/p2*dзеленый,розовый",313721189.0,Пижамы,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~130 шт.",25 ед. спроса за 7 дн. (оценка); остаток 31 шт (~9 дн.); выкуп 100%; возвраты 7д 0%,1.82,2165.18,844.42,3.59,436.61,31.0,8.6,130.0
Анастасия,WB,2026-04-05,1,"mkb000/sph/k4/011/p1*mбелый,темно-синий",378813634.0,"Майка детская, набор 4 штуки",Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~102 шт.",16 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); выкуп 100%; возвраты 7д 0%,,,,2.27,42.52,0.0,0.0,102.0
Анастасия,WB,2026-04-05,1,"pjm003/sph/k1/011/p2*dбелый,серый",306475274.0,Пижамы,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~97 шт.",15 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); выкуп 100%,0.0,0.0,0.0,2.14,0.0,0.0,0.0,97.0
Анастасия,WB,2026-04-05,1,"pjm003/sph/k2/019/p1*dсерый,бледно-розовый",415268434.0,"Пижама летняя для девочки, набор 2 штуки",Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~49 шт.",8 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); выкуп 100%; возвраты 7д 0%,0.0,0.0,0.0,1.09,51.94,0.0,0.0,49.0
Анастасия,WB,2026-04-05,1,"pjm001/sph/k2/044/p1*dперсиковый,розовый",494871212.0,Пижама детская набор 2 штуки,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~46 шт.",7 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); выкуп 100%,15.0,20992.5,6297.75,1.03,0.0,0.0,0.0,46.0
Анастасия,WB,2026-04-05,1,pjm001/sph/k1/033/p1*dзеленый,258320942.0,Пижамы,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~24 шт.",4 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); выкуп 100%,,,,0.53,0.0,0.0,0.0,24.0
Анастасия,WB,2026-04-05,1,"pjm001/sph/k1/039/p2*dсерый,розовый",317396381.0,Пижамы,Высокий,"WB: запустить плановое пополнение/производство, целевой объем ~24 шт.",4 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); выкуп 100%,0.0,0.0,0.0,0.53,0.0,0.0,0.0,24.0
Анастасия,WB,2026-04-05,1,brk012/f2n/k1/019/p1*mсиний,566472621.0,школа начес,Высокий,"WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа. WB: проверить цену и юнит-экономику — за неделю итог по карточке отрицательный.",23 ед. спроса за 7 дн. (оценка); остаток 550 шт (~170 дн.); осн. склад 3 587 шт; выкуп 35%; возвраты 7д 25%,0.0,0.0,0.0,3.23,-315.76,550.0,170.0,
Анастасия,WB,2026-04-05,1,"ftb001/sph/k2/008/p1*mбелый,серый",268456587.0,Футболки,Высокий,WB: запланировать перевести с основного склада ~1 шт и добрать/произвести еще ~88 шт.,14 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); осн. склад 1 шт; выкуп 84%; возвраты 7д 0%,0.0,0.0,0.0,1.97,101.12,0.0,0.0,
Анастасия,WB,2026-04-05,1,ksw012/f3n/k1/008/p1*dкофейный,494186304.0,палаццо,Высокий,"WB: наблюдение, без резких действий. WB: проверить размерную сетку, фото посадки и блок отзывов — есть риск потери выкупа. WB: проверить цену и юнит-экономику — за неделю итог по карточке отрицательный.",7 ед. спроса за 7 дн. (оценка); остаток 625 шт (~625 дн.); осн. склад 1 822 шт; выкуп 35%; возвраты 7д 50%,22.73,41226.14,12367.84,1.0,-346.34,625.0,625.0,
Анастасия,WB,2026-04-05,1,pjm001/sph/k1/044/p1*dсиреневый,705961690.0,MIKIVIKI единороги,Высокий,WB: запланировать перевести с основного склада ~10 шт и добрать/произвести еще ~15 шт.,4 ед. спроса за 7 дн. (оценка); остаток 0 шт (~0 дн.); осн. склад 10 шт; выкуп 100%; возвраты 7д 0%,,,,0.56,80.57,0.0,0.0,
